canonicalName	genus	obs_FI	obs_NO	genusKey	speciesKey	count_FI_60N	count_NO_60N	count_FI_66N	count_NO_66N
amphiura sundevalli	amphiura	0	30	2278224	2277871	0	20	0	18
amphora acuta	amphora	0	4	2630972	7962942	0	0	0	0
amphora atomus	amphora	0	2	2630972	7586785	0	2	0	0
amphora lineolata	amphora	3	0	2630972	8015232	3	0	0	0
amphora ovalis	amphora	15	2	2630972	7388244	13	1	0	1
amphora pediculus	amphora	3	43	2630972	7547842	3	43	0	0
amphora proteus	amphora	0	3	2630972	7738684	0	0	0	0
amphora spectabilis	amphora	0	5	2630972	7956128	0	0	0	0
amphoratheca iniqua	amphoratheca	0	2	7862240	9656361	0	2	0	2
amphoridium lapponcium	amphoridium	3	1	8071617	7436082	3	0	1	0
amphorina andra	amphorina	0	43	3243683	10765422	0	34	0	31
amphorina farrani	amphorina	0	240	3243683	10910226	0	223	0	18
amphorina linensis	amphorina	0	34	3243683	11068251	0	11	0	5
amphorina pallida	amphorina	0	357	3243683	6518506	0	338	0	115
amphorophora agathonica	amphorophora	1	38	2078363	2078364	1	38	0	0
amphorophora ampullata	amphorophora	1	5	2078363	2078387	0	3	0	0
amphorophora gei	amphorophora	2	0	2078363	2078368	1	0	0	0
amphorophora idaei	amphorophora	7	3	2078363	2078397	0	0	0	0
amphorophora rubi	amphorophora	2	90	2078363	2078376	2	59	0	0
amphosoma persooniae	amphosoma	2	0	11034545	10866511	2	0	0	0
ampithoe rubricata	ampithoe	0	288	2216241	5177588	0	170	0	83
amplexopora crassata	amplexopora	0	1	4856486	10725088	0	1	0	1
amplexopora crassiparietum	amplexopora	0	21	4856486	10766567	0	0	0	0
amplexopora evae	amplexopora	0	15	4856486	10857370	0	0	0	0
ampullaceana ampla	ampullaceana	35	0	4606565	10270677	34	0	0	0
ampullaceana balthica	ampullaceana	5402	4447	4606565	9991201	5321	2969	1745	377
ampulloclitocybe clavipes	ampulloclitocybe	600	1239	2538863	2538864	590	714	160	203
ampyx brevicauda	pytine	0	5	3266954	9492312	0	0	0	0
ampyx costatus	cnemidopyge	0	3	4635345	11602064	0	0	0	0
ampyx delicatulus	ampyx	0	21	3267158	8510147	0	0	0	0
ampyx porcus	ampyx	0	12	3267158	8512145	0	0	0	0
ampyx spongiosus	ampyx	0	17	3267158	8641057	0	0	0	0
ampyx toxotis	ampyx	0	11	3267158	8558014	0	0	0	0
ampyx volborthi	lonchodomas	0	15	4635343	11565983	0	0	0	0
ampyxella aculeata	ampyxella	0	17	4635491	8671149	0	3	0	0
ampyxoides inermis	ampyxoides	0	18	4635347	8590331	0	0	0	0
amsinckia lycopsoides	amsinckia	1	43	2925869	2925874	1	15	0	0
amsinckia menziesii	amsinckia	49	54	2925869	2925870	44	5	0	0
amsinckia tessellata	amsinckia	0	5	2925869	2925877	0	0	0	0
